attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.006,"[-1.584, -0.427]",0.578,-2.901,0.005,8.631,ngd,1,308721207.596,0.180,-1.000,-0.006,0,0,fn
c,-5.844,"[-9.175, -2.514]",3.331,-2.927,0.005,8.631,ngd,1,308721207.596,0.180,-6.000,0.156,0,0,fn
s,-4.102,"[-6.476, -1.728]",2.374,-2.882,0.005,8.631,ngd,1,308721207.596,0.180,-3.000,-1.102,0,0,fn
k0,-0.529,"[-1.424, 0.366]",0.895,-0.986,0.328,8.631,ngd,1,308721207.596,0.180,0.000,-0.529,0,0,fp
k1,0.503,"[-0.276, 1.282]",0.779,1.077,0.285,8.631,ngd,1,308721207.596,0.180,0.000,0.503,0,0,fp
k2,0.609,"[-0.049, 1.268]",0.658,1.543,0.128,8.631,ngd,1,308721207.596,0.180,0.000,0.609,0,0,fp
k3,-0.428,"[-1.296, 0.44]",0.868,-0.822,0.414,8.631,ngd,1,308721207.596,0.180,0.000,-0.428,0,0,fp
k4,0.330,"[-0.515, 1.175]",0.845,0.652,0.517,8.631,ngd,1,308721207.596,0.180,0.000,0.330,0,0,fp
k5,0.936,"[-0.206, 2.078]",1.142,1.367,0.176,8.631,ngd,1,308721207.596,0.180,0.000,0.936,0,0,fp
vot,0.172,,,,,8.631,ngd,1,308721207.596,0.180,0.167,0.005,0,0,fn
tt,-1.718,"[-3.516, 0.081]",1.799,-1.593,0.116,8.944,lm,1,1745621630.266,0.428,-1.000,-0.718,1,0,fn
c,-4.929,"[-10.161, 0.303]",5.232,-1.571,0.121,8.944,lm,1,1745621630.266,0.428,-6.000,1.071,1,0,fn
s,-3.957,"[-8.153, 0.239]",4.196,-1.573,0.120,8.944,lm,1,1745621630.266,0.428,-3.000,-0.957,1,0,fn
k0,0.247,"[-1.057, 1.552]",1.305,0.316,0.753,8.944,lm,1,1745621630.266,0.428,0.000,0.247,0,0,fp
k1,1.548,"[-0.722, 3.818]",2.270,1.137,0.260,8.944,lm,1,1745621630.266,0.428,0.000,1.548,0,0,fp
k2,1.788,"[-0.229, 3.804]",2.017,1.479,0.144,8.944,lm,1,1745621630.266,0.428,0.000,1.788,0,0,fp
k3,0.101,"[-1.507, 1.708]",1.607,0.105,0.917,8.944,lm,1,1745621630.266,0.428,0.000,0.101,0,0,fp
k4,1.220,"[-0.738, 3.178]",1.958,1.039,0.302,8.944,lm,1,1745621630.266,0.428,0.000,1.220,0,0,fp
k5,1.622,"[-0.38, 3.624]",2.002,1.351,0.181,8.944,lm,1,1745621630.266,0.428,0.000,1.622,0,0,fp
vot,0.348,,,,,8.944,lm,1,1745621630.266,0.428,0.167,0.182,0,0,fn
tt,-1.180,"[-1.575, -0.785]",0.395,-4.980,0.000,17.727,ngd+lm,1,131199783.257,0.117,-1.000,-0.180,0,0,fn
c,-7.517,"[-9.984, -5.05]",2.467,-5.083,0.000,17.727,ngd+lm,1,131199783.257,0.117,-6.000,-1.517,0,0,fn
s,-3.652,"[-4.966, -2.339]",1.314,-4.638,0.000,17.727,ngd+lm,1,131199783.257,0.117,-3.000,-0.652,0,0,fn
k0,0.179,"[-0.462, 0.821]",0.641,0.467,0.642,17.727,ngd+lm,1,131199783.257,0.117,0.000,0.179,0,0,fp
k1,-0.624,"[-1.185, -0.062]",0.562,-1.851,0.069,17.727,ngd+lm,1,131199783.257,0.117,0.000,-0.624,0,1,fp
k2,0.206,"[-0.419, 0.831]",0.625,0.549,0.585,17.727,ngd+lm,1,131199783.257,0.117,0.000,0.206,0,0,fp
k3,-0.316,"[-1.107, 0.474]",0.790,-0.667,0.507,17.727,ngd+lm,1,131199783.257,0.117,0.000,-0.316,0,0,fp
k4,0.134,"[-0.859, 1.128]",0.994,0.226,0.822,17.727,ngd+lm,1,131199783.257,0.117,0.000,0.134,0,0,fp
k5,-0.623,"[-1.29, 0.045]",0.667,-1.556,0.124,17.727,ngd+lm,1,131199783.257,0.117,0.000,-0.623,0,0,fp
vot,0.157,,,,,17.727,ngd+lm,1,131199783.257,0.117,0.167,-0.010,0,0,fn
tt,-1.513,"[-2.254, -0.772]",0.741,-3.406,0.001,8.573,ngd,2,355064465.691,0.187,-1.000,-0.513,0,0,fn
c,-7.067,"[-10.608, -3.526]",3.541,-3.329,0.001,8.573,ngd,2,355064465.691,0.187,-6.000,-1.067,0,0,fn
s,-3.485,"[-5.496, -1.475]",2.011,-2.891,0.005,8.573,ngd,2,355064465.691,0.187,-3.000,-0.485,0,0,fn
k0,0.684,"[-0.448, 1.816]",1.132,1.008,0.317,8.573,ngd,2,355064465.691,0.187,0.000,0.684,0,0,fp
k1,-0.689,"[-1.639, 0.261]",0.950,-1.209,0.231,8.573,ngd,2,355064465.691,0.187,0.000,-0.689,0,0,fp
k2,0.549,"[-0.187, 1.284]",0.736,1.244,0.218,8.573,ngd,2,355064465.691,0.187,0.000,0.549,0,0,fp
k3,0.447,"[-0.969, 1.862]",1.416,0.526,0.600,8.573,ngd,2,355064465.691,0.187,0.000,0.447,0,0,fp
