attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.748,"[-0.944, -0.552]",0.196,-6.360,0.000,71.551,ngd,1,182045433.470,0.138,-1.000,0.252,0,0,fn
c,-7.321,"[-9.47, -5.171]",2.149,-5.674,0.000,71.551,ngd,1,182045433.470,0.138,-6.000,-1.321,0,0,fn
s,-3.596,"[-4.672, -2.521]",1.076,-5.571,0.000,71.551,ngd,1,182045433.470,0.138,-3.000,-0.596,0,0,fn
vot,0.102,,,,,71.551,ngd,1,182045433.470,0.138,0.167,-0.064,0,0,fn
tt,-1.018,"[-1.292, -0.744]",0.274,-6.196,0.000,69.785,lm,1,177631556.090,0.136,-1.000,-0.018,0,0,fn
c,-8.399,"[-10.875, -5.922]",2.476,-5.650,0.000,69.785,lm,1,177631556.090,0.136,-6.000,-2.399,0,0,fn
s,-4.531,"[-5.882, -3.181]",1.351,-5.589,0.000,69.785,lm,1,177631556.090,0.136,-3.000,-1.531,0,0,fn
vot,0.121,,,,,69.785,lm,1,177631556.090,0.136,0.167,-0.045,0,0,fn
tt,-0.843,"[-1.064, -0.623]",0.221,-6.369,0.000,137.866,ngd+lm,1,179215321.591,0.137,-1.000,0.157,0,0,fn
c,-7.532,"[-9.725, -5.338]",2.194,-5.720,0.000,137.866,ngd+lm,1,179215321.591,0.137,-6.000,-1.532,0,0,fn
s,-4.044,"[-5.237, -2.852]",1.192,-5.652,0.000,137.866,ngd+lm,1,179215321.591,0.137,-3.000,-1.044,0,0,fn
vot,0.112,,,,,137.866,ngd+lm,1,179215321.591,0.137,0.167,-0.055,0,0,fn
tt,-0.551,"[-0.725, -0.378]",0.173,-5.296,0.000,55.201,ngd,2,150820027.497,0.128,-1.000,0.449,0,0,fn
c,-4.470,"[-5.706, -3.235]",1.236,-6.026,0.000,55.201,ngd,2,150820027.497,0.128,-6.000,1.530,0,0,fn
s,-2.170,"[-2.779, -1.561]",0.609,-5.933,0.000,55.201,ngd,2,150820027.497,0.128,-3.000,0.830,0,0,fn
vot,0.123,,,,,55.201,ngd,2,150820027.497,0.128,0.167,-0.043,0,0,fn
tt,-0.961,"[-1.246, -0.676]",0.285,-5.617,0.000,62.233,lm,2,135331945.673,0.121,-1.000,0.039,0,0,fn
c,-6.004,"[-7.692, -4.315]",1.689,-5.922,0.000,62.233,lm,2,135331945.673,0.121,-6.000,-0.004,0,0,fn
s,-3.150,"[-4.053, -2.246]",0.904,-5.806,0.000,62.233,lm,2,135331945.673,0.121,-3.000,-0.150,0,0,fn
vot,0.160,,,,,62.233,lm,2,135331945.673,0.121,0.167,-0.007,0,0,fn
tt,-0.983,"[-1.277, -0.69]",0.294,-5.577,0.000,113.328,ngd+lm,2,134639898.992,0.121,-1.000,0.017,0,0,fn
c,-6.296,"[-8.079, -4.512]",1.783,-5.881,0.000,113.328,ngd+lm,2,134639898.992,0.121,-6.000,-0.296,0,0,fn
s,-3.273,"[-4.218, -2.329]",0.945,-5.772,0.000,113.328,ngd+lm,2,134639898.992,0.121,-3.000,-0.273,0,0,fn
vot,0.156,,,,,113.328,ngd+lm,2,134639898.992,0.121,0.167,-0.010,0,0,fn
tt,-1.281,"[-1.68, -0.881]",0.399,-5.343,0.000,59.383,ngd,3,178103493.126,0.135,-1.000,-0.281,0,0,fn
c,-7.648,"[-10.208, -5.088]",2.560,-4.977,0.000,59.383,ngd,3,178103493.126,0.135,-6.000,-1.648,0,0,fn
s,-3.390,"[-4.462, -2.318]",1.072,-5.267,0.000,59.383,ngd,3,178103493.126,0.135,-3.000,-0.390,0,0,fn
vot,0.167,,,,,59.383,ngd,3,178103493.126,0.135,0.167,0.001,0,0,fn
tt,-1.611,"[-2.166, -1.056]",0.555,-4.836,0.000,50.065,lm,3,176883717.952,0.135,-1.000,-0.611,0,0,fn
c,-9.255,"[-12.706, -5.805]",3.450,-4.469,0.000,50.065,lm,3,176883717.952,0.135,-6.000,-3.255,0,0,fn
s,-4.055,"[-5.484, -2.626]",1.429,-4.727,0.000,50.065,lm,3,176883717.952,0.135,-3.000,-1.055,0,0,fn
vot,0.174,,,,,50.065,lm,3,176883717.952,0.135,0.167,0.007,0,0,fn
tt,-1.491,"[-1.993, -0.99]",0.502,-4.954,0.000,109.057,ngd+lm,3,177155947.807,0.135,-1.000,-0.491,0,0,fn
c,-8.966,"[-12.226, -5.706]",3.260,-4.582,0.000,109.057,ngd+lm,3,177155947.807,0.135,-6.000,-2.966,0,0,fn
s,-3.949,"[-5.31, -2.589]",1.361,-4.835,0.000,109.057,ngd+lm,3,177155947.807,0.135,-3.000,-0.949,0,0,fn
vot,0.166,,,,,109.057,ngd+lm,3,177155947.807,0.135,0.167,-0.000,0,0,fn
