attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.033,"[-1.598, -0.467]",0.565,-3.047,0.003,8.653,ngd,75,230544571.235,0.153,-1.000,-0.033,0,0,fn
c,-6.311,"[-9.649, -2.973]",3.338,-3.153,0.002,8.653,ngd,75,230544571.235,0.153,-6.000,-0.311,0,0,fn
s,-2.822,"[-4.446, -1.197]",1.625,-2.897,0.005,8.653,ngd,75,230544571.235,0.153,-3.000,0.178,0,0,fn
k0,-0.559,"[-1.4, 0.282]",0.841,-1.109,0.272,8.653,ngd,75,230544571.235,0.153,0.000,-0.559,0,0,fp
k1,-1.238,"[-2.14, -0.336]",0.902,-2.289,0.025,8.653,ngd,75,230544571.235,0.153,0.000,-1.238,0,1,fp
k2,0.589,"[-0.257, 1.436]",0.846,1.161,0.250,8.653,ngd,75,230544571.235,0.153,0.000,0.589,0,0,fp
k3,0.797,"[-0.081, 1.674]",0.877,1.515,0.135,8.653,ngd,75,230544571.235,0.153,0.000,0.797,0,0,fp
k4,-0.050,"[-0.65, 0.551]",0.601,-0.138,0.891,8.653,ngd,75,230544571.235,0.153,0.000,-0.050,0,0,fp
k5,0.384,"[-0.343, 1.111]",0.727,0.880,0.382,8.653,ngd,75,230544571.235,0.153,0.000,0.384,0,0,fp
vot,0.164,,,,,8.653,ngd,75,230544571.235,0.153,0.167,-0.003,0,0,fn
tt,-1.592,"[-2.686, -0.498]",1.094,-2.427,0.018,8.956,lm,75,471388275.449,0.219,-1.000,-0.592,0,0,fn
c,-5.946,"[-9.672, -2.22]",3.726,-2.662,0.010,8.956,lm,75,471388275.449,0.219,-6.000,0.054,0,0,fn
s,-2.413,"[-4.059, -0.766]",1.646,-2.445,0.017,8.956,lm,75,471388275.449,0.219,-3.000,0.587,0,0,fn
k0,-0.261,"[-1.153, 0.632]",0.892,-0.487,0.628,8.956,lm,75,471388275.449,0.219,0.000,-0.261,0,0,fp
k1,-1.993,"[-3.659, -0.328]",1.666,-1.996,0.050,8.956,lm,75,471388275.449,0.219,0.000,-1.993,0,1,fp
k2,0.663,"[-0.535, 1.86]",1.197,0.923,0.359,8.956,lm,75,471388275.449,0.219,0.000,0.663,0,0,fp
k3,1.231,"[-0.03, 2.493]",1.262,1.628,0.108,8.956,lm,75,471388275.449,0.219,0.000,1.231,0,0,fp
k4,0.500,"[-0.384, 1.384]",0.884,0.944,0.349,8.956,lm,75,471388275.449,0.219,0.000,0.500,0,0,fp
k5,0.997,"[-0.072, 2.066]",1.069,1.556,0.124,8.956,lm,75,471388275.449,0.219,0.000,0.997,0,0,fp
vot,0.268,,,,,8.956,lm,75,471388275.449,0.219,0.167,0.101,0,0,fn
tt,-0.953,"[-1.273, -0.632]",0.321,-4.956,0.000,17.544,ngd+lm,75,134910379.791,0.117,-1.000,0.047,0,0,fn
c,-5.488,"[-7.244, -3.733]",1.756,-5.214,0.000,17.544,ngd+lm,75,134910379.791,0.117,-6.000,0.512,0,0,fn
s,-2.796,"[-3.907, -1.685]",1.111,-4.198,0.000,17.544,ngd+lm,75,134910379.791,0.117,-3.000,0.204,0,0,fn
k0,-0.199,"[-0.697, 0.298]",0.497,-0.669,0.506,17.544,ngd+lm,75,134910379.791,0.117,0.000,-0.199,0,0,fp
k1,-0.004,"[-0.446, 0.439]",0.442,-0.014,0.989,17.544,ngd+lm,75,134910379.791,0.117,0.000,-0.004,0,0,fp
k2,0.186,"[-0.252, 0.624]",0.438,0.707,0.482,17.544,ngd+lm,75,134910379.791,0.117,0.000,0.186,0,0,fp
k3,0.357,"[-0.147, 0.861]",0.504,1.182,0.241,17.544,ngd+lm,75,134910379.791,0.117,0.000,0.357,0,0,fp
k4,0.160,"[-0.242, 0.561]",0.402,0.664,0.509,17.544,ngd+lm,75,134910379.791,0.117,0.000,0.160,0,0,fp
k5,-0.217,"[-0.627, 0.192]",0.410,-0.886,0.379,17.544,ngd+lm,75,134910379.791,0.117,0.000,-0.217,0,0,fp
vot,0.174,,,,,17.544,ngd+lm,75,134910379.791,0.117,0.167,0.007,0,0,fn
