attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.868,"[-1.163, -0.574]",0.294,-4.916,0.000,5.514,ngd,1,292711510.395,0.175,-1.000,0.132,0,0,fn
c,-7.554,"[-10.355, -4.753]",2.801,-4.493,0.000,5.514,ngd,1,292711510.395,0.175,-6.000,-1.554,0,0,fn
s,-2.886,"[-4.052, -1.721]",1.166,-4.125,0.000,5.514,ngd,1,292711510.395,0.175,-3.000,0.114,0,0,fn
vot,0.115,,,,,5.514,ngd,1,292711510.395,0.175,0.167,-0.052,0,0,fn
tt,-1.187,"[-1.512, -0.861]",0.326,-6.070,0.000,6.001,lm,1,174698240.630,0.135,-1.000,-0.187,0,0,fn
c,-7.549,"[-9.798, -5.301]",2.248,-5.594,0.000,6.001,lm,1,174698240.630,0.135,-6.000,-1.549,0,0,fn
s,-4.068,"[-5.287, -2.849]",1.219,-5.559,0.000,6.001,lm,1,174698240.630,0.135,-3.000,-1.068,0,0,fn
vot,0.157,,,,,6.001,lm,1,174698240.630,0.135,0.167,-0.009,0,0,fn
tt,-1.187,"[-1.512, -0.861]",0.326,-6.070,0.000,11.508,ngd+lm,1,174698240.629,0.135,-1.000,-0.187,0,0,fn
c,-7.549,"[-9.798, -5.301]",2.248,-5.594,0.000,11.508,ngd+lm,1,174698240.629,0.135,-6.000,-1.549,0,0,fn
s,-4.068,"[-5.287, -2.849]",1.219,-5.559,0.000,11.508,ngd+lm,1,174698240.629,0.135,-3.000,-1.068,0,0,fn
vot,0.157,,,,,11.508,ngd+lm,1,174698240.629,0.135,0.167,-0.009,0,0,fn
tt,-0.510,"[-0.749, -0.271]",0.239,-3.555,0.001,5.720,ngd,2,273415845.173,0.173,-1.000,0.490,0,0,fn
c,-4.442,"[-6.017, -2.866]",1.575,-4.697,0.000,5.720,ngd,2,273415845.173,0.173,-6.000,1.558,0,0,fn
s,-2.053,"[-2.859, -1.248]",0.805,-4.248,0.000,5.720,ngd,2,273415845.173,0.173,-3.000,0.947,0,0,fn
vot,0.115,,,,,5.720,ngd,2,273415845.173,0.173,0.167,-0.052,0,0,fn
tt,-1.004,"[-1.31, -0.698]",0.306,-5.473,0.000,6.193,lm,2,142049359.186,0.124,-1.000,-0.004,0,0,fn
c,-6.043,"[-7.805, -4.281]",1.762,-5.714,0.000,6.193,lm,2,142049359.186,0.124,-6.000,-0.043,0,0,fn
s,-3.124,"[-4.046, -2.203]",0.921,-5.649,0.000,6.193,lm,2,142049359.186,0.124,-3.000,-0.124,0,0,fn
vot,0.166,,,,,6.193,lm,2,142049359.186,0.124,0.167,-0.001,0,0,fn
tt,-1.004,"[-1.31, -0.698]",0.306,-5.473,0.000,12.136,ngd+lm,2,142049359.186,0.124,-1.000,-0.004,0,0,fn
c,-6.043,"[-7.805, -4.281]",1.762,-5.714,0.000,12.136,ngd+lm,2,142049359.186,0.124,-6.000,-0.043,0,0,fn
s,-3.124,"[-4.046, -2.203]",0.921,-5.649,0.000,12.136,ngd+lm,2,142049359.186,0.124,-3.000,-0.124,0,0,fn
vot,0.166,,,,,12.136,ngd+lm,2,142049359.186,0.124,0.167,-0.001,0,0,fn
tt,-1.149,"[-1.54, -0.759]",0.390,-4.908,0.000,5.184,ngd,3,202253409.517,0.144,-1.000,-0.149,0,0,fn
c,-7.736,"[-10.548, -4.923]",2.812,-4.582,0.000,5.184,ngd,3,202253409.517,0.144,-6.000,-1.736,0,0,fn
s,-3.103,"[-4.178, -2.027]",1.076,-4.806,0.000,5.184,ngd,3,202253409.517,0.144,-3.000,-0.103,0,0,fn
